col01,col02,col03,col04,col05,col06,col07,col08,col09,col10,col11,col12,col13,col14,col15,col16
157 000,"K a r l s r u h e   i .   B . ,   Generalanzeiger  für  Südw est­",,,,,,,,,,,,,,
,d eu tsch la n d   .........................................,23  300,7,22,12,7,N,90,50,c,,420 280,5040,+,25
,B e i  gleichz.  A u fg .  in   B ez.-A u sg .  N euer  R hem -,,,,,,,,,,,,,,
,"u.  K in zig -B ote,  H ardt-Anzeiger,  K eM ,  mm",,,,,,,,,,,,,,
,"8 R p f, R ekl. mm  SO l i p f    Siehe  A nzeige  S . 137",,,,,,,,,,,,,,
,K aärlsruher<B ürgerzeitung.........................................,,1,50,4,*,,,,D,,295 186,,+,54
,"»  V i   S .  R M   9 6 ,—",,,,,,,,,,,,,,
,K arlsruh eü-'Tagbatt  .  .  .  S iehe  A nzeige  S . 137,13 000,7,22,12,6,N,68,30,B,420,2 87,5040,+,25
,R esidenZ-A nzeiger  . . . .   Siehe  A nzeige  S. 135,7 300,6,22,12,4,N,96,25,B,450,2 92,5400,+,25
,R h e i n - R ö t e ....................... Siehe  A n zeig e  S. 135,1 450,6,46,6,5,N,96,15,B,450,2 92,2700,+,25
11 000,"H e h l ,   G en eral-A nzeiger  fü r  S üdw estdeutschland.",,,,,,,,,,,,,,
,"N euer  R h ein -  u .  K in zig -B ote,  H a rd t-A n z eig er",2  600,7,22,12,3,P,90,15,A,,420 280,5040,+,25
,S a .-P r.   siehe   K a rlsru h e  Siehe  A nzeige  S. 1 37,,,,,,,,,,,,,,
,-K e h le r   Z e itu n g ...............................................................,3  970,6,22,12,4,P,68,18,B,414,279,4968,+,
3 000,"K e n z i n g e n ,   K en zip g er  W och en b la tt  .  .  .  .",1  500,3,46,6,4,P,90,12,A,426,283,2556,+,
,Siehe  A n zeig e  S.  141,,,,,,,,,,,,,,
33 000,"K o n s t a n z ,   O B od ep see-R u n dsch au   .  .  .  .  .",22  150,6,46,6,4,P,69,30,B,420,285,2520,,30
,Siehe  A nzeige  S . 151,,,,,,,,,,,,,,
