col1,col2,col3,col4,col5,col6,from_page
"100298
G","Käthe-Kollwitz-Grundschule
Käthe-Kollwitz-Straße  2
0  - 1950  Neuruppin","Frau  Kolrep
Frau  Dabitz","033911
2726",06,,2
"100304
G","Karl·Liebknecht·Schule
A.-Becker-Straße  23
0  - 1950  Neuruppin","Frau  Hecht
Herr  Rougk","033911
5203","06
1",,2
"100316
G","Ernst-Thälmann-Grundschule
Gerhart-Hauptmann-Straße  38
0  - 1950  Neuruppin","Frau  Kunow
Frau  Schimmat","033911
2804",06,,2
"100328
G","Gustav-Kühn-Grundschule
Franz-Mehring-Straße  1  a
0  - 1950  Neuruppin","Herr  Jörissen
Herr  Bartholdt","033911
5319",06,,2
"100330
G","Grundschule  Wildberg
Werdersteg  4
0- 1901  Wildberg","Frau  Schindler
Frau  Bröhl","0339281
382",06,,2
"100353
G","Max-Martin·Grundschule
Rudolf-Breitscheid-Straße  30  a
0  - 1951  Herzberg","Frau  Makowiak
Frau  NelA!lann","0339261
207",06,,2
"100365
G","Grundschule
Geschwister-Scholl-Straße  14
0  - 1953  Fehrbellin","Herr  Kikel
Frau  Nemecek","0339321
235",06,Filial e,2
"100377
G","Grundschule  Königshorst
Hauptstraße  4
0  - 1951  Königshorst","Frau  Hansen
Frau  Pradel","033922/
812",06,,2
"100389
G","Grundschule  Protzen
Dorfstraße  73-75
0  - 1951  Protzen",Herr  Lettow,"0339321
261",06,,2
"100390
G","Grundschule  Gildenhall
Hermsdorfer  Weg  1
0  - 1950  Neuruppin","Herr  Engel
Herr  Flügel","033911
2393",06,,2
"100407
G","Grundschule  ""Schule  des  Friedens""
OdF-Platz  11!12
0  - 1950  Neuruppin","Herr  Klawin
Frau  Görn","033911
2612",06,,3
"101606
G","Diesterweg-Grundschule  111
Auf  der  Freiheit  7
0  - 1930  Wittstock","Herr  Bratsch
Frau  Parnitzky","033941
3419",06,,3
"101618
G","Grundschule  IV
Waldring  27
0  - 1930  llittstock","Frau  llojciechowiecz
Frau  Lehms","033941
3595","06
1",,3
"101620
G","Grundschule  V
Polthier  Straße  19
0  - 1930  llittstock","Frau  Fickler
Frau  Gerbendorf","033941
2229",06,,3
"101631
G","Grundschule  VI
Jahnstraße  1
0  - 1930  Wittstock","Frau  Rickert
Herr  Behrendt","033941
3872",06,,3
"101643
G","Wald-Schule
Draußenberg  18
0  - 1931  Dossow","Herr  Reese
Frau  Beindorf","033941
3769",06,,3
"101655
G","Grundschule  Berlinchen
Dorfstraße  21
0- 1931  Berlinchen","Frau  Berlin
Frau  Zech","0339661
255",06,,3
"102740
G","Grundschule  Blumentha l
Parkweg  2
0  - 1921  Blumenthal","Frau  Stasch
Herr  Häusler","0339841
237","06
1",,3
"102787
G","Grundschule  Breddin
SchulstraBe  3
0  - 1901  Breddin","Herr  Ratschke
Frau  Westphal","0339721
237","06
1",Filiale,3
"102805
G","Grundschule  Dreetz
SchulstraBe  2
0  - 1901  Dreetz","Herr  Beetz
Herr  Hebekerl","0339701
647","06
1",,3
"102817
G","Grundschule
Ammerländer  Straße  3
0  - 1910  Kyritz","Frau  Wernicke
Herr  Mohr","0339711
3312",06,,4
"102829
G","Grundschule
Holzhausener  Straße  29
0  - 1910  Kyritz","Frau  Ladewig
Frau  Herrmann","0339711
. 2229",06,,4
"102830
G","Grundschule  Lögow
Schulstraße  21
0  •  1901  Lögow",Frau  Rettig,"0339741
752",06,,4
"102842
G","Grundschule  Lohm
DorfstraBe  38
0  - 1901  Lohm","Herr  Schumacher
Frau  Selle","0339731
825",06,,4
"102854
G","Grundschule  Nackel
Schulstraße  1
0  - 1901  Nackel","Herr  Senn
Herr  Boerger","0339781
447",06,,4
"102866
G","Grundschule
Lindenstraße  6
0  - 1900  NeustadtiDosse","Frau  Lehwald
Frau  Schmidt","0339701
293","06
1",Filiale,4
"102878
G","Grundschule  ""Geschwister  Scholl""
Im  Zingel  3
0  - 1901  Sieversdorf","Herr  Pöhls
Frau  Seel iger","0339701
519","06
1",,4
"102891
G","Grundschule  Wusterhausen
SchulstraBe  1
0  - 1903  Wusterhausen","Herr  Lugauer
Frau  Schreiber","0339791
246",06,,4
"105703
G","Grundschule  Königsberg
DorfstraBe  48
0  - 1931  Königsberg","Frau  Stock
Herr  Wegwart","0339651
280",06,,4
"103986
G","Grundschule  Bad  Wilsnack
Jahnstraße  10111
0- 2902  Bad  Wilsnack","Herr  Bieck
Frau  Spielmann","0384911
2271",06,,5
"103998
G","Grundschule  II
Schulplatz  4·5
0  - 2900  Wittenberge","Frau  Kirschnick
Frau  Paul","038771
3817",06,,5
"104000
G","Grundschule  IV
Or.·S.·Allende-Straße  62
0  - 2900  Wittenberge","Frau  Kühl
Frau  Kaufmann","03877/
2084",06,,5
"104012
G","Grundschule  111
Elsternweg  15
0  ·  2900  Wittenberge","Herr  Gutke
Herr  Straßburg","03877/
2058","06
1",,5
"104024
G","2.  Grundschule  Perleberg
Beguinenwiese  10
0  ·  2910  Perleberg","Frau  Richter
Frau  Dreifke","03876/
2656",06,,5
"104036
G","3.  Grundschule  Perleberg
Oobberziner  Straße  28
0  ·  2910  Perleberg","Herr  Peters
Frau  Zigan","03876/
3387",06,,5
"104048
G","Grundschule
Hauptstraße  5
0  - 2911  Baek",Herr  Semnler,"038782!
567",06,,5
"104050
G","Grundschule  Dallmin
Marktplatz  8  a
0  ·  2911  Dallmin",Herr  Schwerin,"038783/
244","06
1",,5
"104061
G","Grundschule
Hauptstraße  40
0  - 2911  Kleinow","Herr  Böhm
Frau  Röhl","038784/
306",06,,5
"104073
G","Grundschule  Kletzke
Dorfstraße  56
0  ·  2901  Kletzke",Herr  Schmidt,"0387961
275",06,,5
"104085
G","Anne·Frank·Grundschule
Berliner  Straße  29
0  ·  2911  Groß  Warnow","Herr  Hirte
Frau  Botte","038788/
201",06,,6
"104097
G","Grundschule
Dorfstraße  10  A
0  ·  2911  Wolfshagen",Frau  Schutz,"038789/
231","06
1",,6
"105077
G","Rosa-Luxemburg-Schule
Lüchstraße  9
0  - 2901  Breese","Frau  Wol tff
Frau  Heinrich","038771
3863","06
1",,6
"105089
G","Grundschule  Berge
Schulstraße  PF  191  2
0  - 2911  Berge","Frau  Reinike
Frau  llper","038785/
318",06,,6
"105090
G","1.  Grundschule
Oergenthiner  Straße  29
0  - 2910  Perleberg","Frau  Felsch
Frau  Böwe","03876/
2681","06
1",,6
"105831
G","Grundschule  Lanz
Hopfenweg  8
0  - 2801  Lanz","Frau  Bludovsky
Frau  Wendt","03876/
304",06,,6
"105843
G","Grundschule  Lenzen
Rudi·Breitscheid·Straße  8
0  - 2805  Lenzen","Frau  Kühn
Frau  Zückert","03874/
453",06,,6
