col1,col2,col3,col4,from_page
"Grundschule  ""Martin  Andersen  Nexö""
Warschauer  Str.  16
17493  Greifswald","Frau  Lehmann
03834  - 840189",224,103,1
"Karl-Marx-Grundschule
Rigaer  Str.  30
17493  Greifswald","Frau  Matthews
03834  - 840801",207,103,1
"Grundschule  Friedrich  Engels
Rigaer  Str.  29
17493  Greifswald","Frau  Dedow
03834  - 840698",237,117,1
"Caspar-David-Friedrich-Grundschule
Usedomer  Weg  1
17493  Greifswald","Frau  Reinhold
03834  - 811150",333,172,1
"Grundschule  Grete  Walter
Hainstr.  16
17493  Greifswald","Frau  Preuße
03834  - 840075",115,59,1
Realschule  mit  Hauptschul tei1,,,,1
"Realschule  Käthe  Kollwitz
Knopfstr.  25/26
17489  Greifswald","Herr  Grewe
03834  - 3255",245,101,1
"Realschule  Ernst  Moritz  Arndt
Arndtstr.  37
17489  Greifswald","Frau  Leddin
03834  - 500062",186,89,1
"Realschule  Karl  Krull
Bleichstr.  36
17489  Greifswald","Herr  Feske
03834  - 68423",199,86,1
"Erwin-Fischer-Realschule
Feldstr.  86
17489  Greifswald","Frau  Kagel
03834  - 500775",184,58,1
"Fritz-Reuter-Realschule
Max-Hagen-Weg  13
17491  Greifswald","Frau  Borowicki
03834  - 814053",170,88,1
"11.  Realschule
Max-Planck-Str.  7
17491  Greifswald","Frau  Schmidt
03834  - 812071",306,146,1
"13.  Realschule
Max-Planck-Str.  9
17491  Greifswald","Herr  Dr.  Hübner
03834  - 812063",253,121,1
"Erich-Weinert-Realschule
Makarenkostr.  53
17491  Greifswald","Frau  Hetming
03834  - 812022",312,134,1
"Realschule  Pablo  Neruda
Ernst-Thälmann-Ring  15
17491  Greifswald","Frau  Hartung
03834  - 812021",289,145,1
"Realschule  ""Martin  Andersen .  Nexö""
Warschauer  Str.  16
17493  Greifswald","Frau  Müller
03834  - 840189",296,132,2
"Karl-Marx-Realschule
Rigaer  Str.  30
17493  Greifswald","Herr  Menge
03834  - 840801",250,112,2
"Realschule  Friedrich  Engels
Rigaer  Str.  29
17493  Greifswald","Herr  Reinelt
03834  - 840698",314,143,2
"Realschule  Caspar  David  Friedrich
Usedomer  Weg  1
17493  Greifswald","Frau  Voßberg
03834  - 811150",278,140,2
"Hanse-Realschule
Albert-Einstein-Str .  6
17491  Greifswald","Herr  Meinke
03834  - 812059",280,129,2
"8.  Realschule
Karl-Krull-Str.  19
17491  Greifswald","Frau  Kallies
03834  - 814051",207,78,2
Gymnasium,,,,2
"Johann-Gottfried-Herder-Gymnasium
Max-Planck-Str.  8
17491  Greifswald","Frau  Dr .  Sikora
03834  - 812066",877,552,2
"Alexander-von-Humboldt-Gymnasium
Makarenkostr.  54
17491  Greifswald","Frau  Dr.  Scherpelz
03834  - 812029",901,458,2
"Gymnasium  Friedrich  Ludwig  Jahn
Ernst-Thälmann-Platz  1
17491  Greifswald","Herr  Dr.  Zschäckel
03834  - 500043",1194,712,2
Sonderschule  für  Lernbehinderte,,,,2
"Pestalozzischule  - LBS  -
Wolgaster  Str.  62
17489  Greifswald","Herr  Wolf
03834  - 3909",522,195,2
Sonderschule  für  Geistigbehinderte,,,,2
"Johanna-Odebrecht-Stiftung
Schule  für  Geistigbehinderte
Loissiner  Wende  5
17491  Greifswald","Herr  Skladny
03834  - 500645-47",81,35,2
Abendgymnasium,,,,2
"Abendgymnasium
Ernst-Thälmann-Platz  1
17489  Greifswald","Frau  Aumüller
03834  - 501640",72,42,2
Kreisfreie  Stadt  Neubrandenburg,,,,3
Grundschule,,,,3
"1.  Grundschule  ""Uns  Hüsung""
Katharinenstr.  1
17033  Neubrandenburg","Herr  Borchert
0395  - 2291",359,170,3
"2.  Grundschule
Stavener  Str.  49
17034  Neubrandenburg","Frau  Krause
0395  - 4228705",242,110,3
"15.  Grundschule
Werner-Seelenbinder-Str.  1
17033  Neubrandenburg","Frau  Balser
0395  - 3699936",336,179,3
"6.  Grundschule
Neustrelitzer  Str.  Sb
17033  Neubrandenburg","Frau  Beyermann
0395  - 6571",183,77,3
"3.  Grundschule
Stavener  Str.  52
17034  Neubrandenburg","Frau  Dr.  Manthey
0395  - 4691315",237,104,3
"8.  Grundschule  ""An  der  Märchensäule""
Juri-Gagarin-Ring  20
17036  Neubrandenburg","Herr  Dräger
0395  - 71808",237,105,3
"9.  Grundschule
Juri-Gagarin-Ring  22
17036  Neubrandenburg","Frau  Rosema
0395  - 71905",244,120,3
"4.  Grundschule
Bertold-Brecht-Str.  lb
17034  Neubrandenburg","Frau  Enunert
0395  - 4229164",250,130,3
"16.  Grundschule
Adlerstr.  la
17034  Neubrandenburg","Frau  Siebert
0395  - 4225434",268,125,3
"10.  Grundschule
Robert-Koch-Str.  52
17036  Neubrandenburg","Frau  Arndt
0395  - 792297",248,130,3
"7.  Grundschule  ""Lindenberg""
Kirschenallee  24
17033  Neubrandenburg","Frau  Romey
0395  - 3683774",203,102,3
"12.  Grundschule
Razgrader  Str.  3
17034  Neubrandenburg","Frau  Brunk
0395  -.690231
'",561,287,3
"13.  Grundschule  am  Reitbahnsee
Hufeisenstr.  1
17034  Neubrandenburg","Frau  Mews
0395  - 4699430",646,338,3
"14.  Grundschule
Hufeisenstr.  31
17034  Neubrandenburg","Frau  Lehmann
0395  - 4226476",329,161,4
"5.  Grundschule
""Grundschule  am  See""
Dükerweg  2
17033  Neubrandenburg","Frau  Tannert
0395  - 2237",277,137,4
"11.  Grundschule
Kopernikusstr.  6
17036  Neubrandenburg","Herr  Dr.  Plesse
0395  - 781341",525,251,4
"17.  Grundschule  ""Am  Wall""
Krämerstr.  16
17033  Neubrandenburg","Herr  Rediske
0395  - 41032",281,127,4
Realschule,,,,4
"1.  Realschule  ""Fritz  Reuter""
Katharinenstr.  1
17033  Neubrandenburg","Frau  Lindhorst
0395  - 3139",241,115,4
"2.  Realschule
Stavener  Str.  49
17034  Neubrandenburg","Frau  Mücke
0395  - 4228705",239,111,4
"10.  Realschule
Robert-Koch-Str.  52
17036  Neubrandenburg","Frau  Stechow
0395  - 792297",313,135,4
"9.  Realschule  ""Heinrich  Schliemann""
Juri-Gagarin-Ring  22
17036  Neubrandenburg","Frau  Stieger
0395  - 71905",3 14,146,4
"4.  Realschule
Bertold-Brecht-Str.  lb
17034  Neubrandenburg","Herr  Leye.
0395  - 4229164",392,169,4
"8.  Realschule  ""Johann  Heinrich  Voß""
Juri-Gagarin-Ring  20
17036  Neubrandenburg","Frau  Michael
0395  - 71808",300,161,4
Realschule  mit  Hauptschul tei1,,,,4
"11.  Realschule
Kopernikusstr.  4
17036  Neubrandenburg","Frau  Leye
0395  - 72905",382,164,4
"6.  Realschule  ""Am  Gätenbach""
Neustrelitzer  Str.  Sb
17033  Neubrandenburg","Frau  Schiffner
0395  - 6571",358,149,4
"13.  Realschule  ""Friedrich  Ludwig  Jahn""
Traberallee  18
17034  Neubrandenburg","Herr  Frydrychowski
0395  - 4699297",547,248,4
"12.  Realschule  ""Ernst-Moritz  Arndt""
Razgrader  Str.  2
17034  Neubrandenburg","Herr  Willert
0395  - 690415",423,198,5
"7.  Realschule
Kirschenallee  24
17033  Neubrandenburg","Herr  Dr.  Tojtschitsch
0395  - 3683774",291,123,5
"5.  Realschule
Dükerweg  2
17033  Neubrandenburg","Herr  Freier
0395  - 2237",196,74,5
"3.  Realschule
Stavener  Str.  52
17034  Neubrandenburg","Frau  Jahnke
0395  - 4691315",291,131,5
Gymnasium,,,,5
"Friedrich-Engels-Gymnasium
Kopernikusstr.  2
17036  Neubrandenburg","Herr  Dr .  Klemp
0395  - 71851",970,622,5
"Curie-Gymnasium
Demminer  Str.  42
17034  Neubrandenburg","Herr  Dr.  Rätzer
0395  - 4226294",716,449,5
"Gymnasium  ""Ernst  Alban ""
Juri-Gagarin-Ring  18
17036  Neubrandenburg","Herr  Dr.  Kittler
0395  - 72840",555,272,5
"Musisches  Gymnasium
Lessingstr.1
17033  Neubrandenburg","Herr  Dr.  Klötzer
0395  - 5823027",517,373,5
"Gymnasium  in  der  Johannesstraße
Johannesstr.  18
17034  Neubrandenburg","Herr  Schütze
0395  - 4225635",692,360,5
Gymnasium  mit  Realschulteil,,,,5
"Sportgymnasium
Geschwister-Scholl-Str.  14
17033  Neubrandenburg","Herr  Schneider
0395  - 2226",939,492,5
Integrierte  Gesamtschule,,,,5
"Gesamtschule  Mitte
Krämerstr.  16
17033  Neubrandenburg","Herr  Bretschneider
0395  - 41032",461,223,5
Kooperative  Gesamtschule,,,,5
"Kooperative  Gesamtschule  Neubrandenburg
Razgrader  Str.  22
17034  Neubrandenburg","Herr  Böhnke
0395  - 690312",795,366,5
Sonderschu1e  für  Lernbehinderte,,,,6
"Pestalozzi-Schule
Schule  für  Lernbehinderte
Ziegelbergstr.  27
17033  Neubrandenburg","Frau  Reuter
0395  - 2961",314,113,6
Sonderschu1e  für  Sprachbehinderte,,,,6
"Sprachheilschule  Neubrandenburg
Kirschenallee  6
17033  Neubrandenburg","Frau  Schulze
0395  - 699203",75,28,6
